Date,prices,prices_delta,log_returns,daily_vol,daily_vol_dollar,price_dev,annual_vol
2012-04-25,71.93,1.75,0.024630053724195022,0.03274924735988048,2.355653362596203,0.9083378281346121,0.5198781848326942
2012-04-26,73.41999799999999,1.4899979999999857,0.020502926948889666,0.03455906913019357,2.537326786420673,0.6325200573474169,0.5486082147622887
2012-04-27,74.709999,1.2900010000000037,0.017417587774466448,0.03583029391996652,2.6768812229304046,0.5084094831236805,0.5687882826874863
2012-04-30,74.139999,-0.5699999999999932,-0.007658754368030429,0.01455747950990747,1.0792915163070604,-0.2129343637354254,0.23109282299480163
2012-05-01,76.050003,1.9100040000000007,0.025435873918442375,0.014762858371533303,1.122715423443683,1.7696831404135682,0.23435311134927062
2012-05-02,79.43,3.379997000000003,0.04348507249200839,0.021231557926607983,1.6864226461104723,3.0105554171800764,0.3370405333216012
2012-05-03,80.300003,0.870002999999997,0.010893527667574787,0.021707515621916963,1.743113569562479,0.5158866918720242,0.3445961274998513
2012-05-04,77.699997,-2.6000060000000076,-0.03291443954905304,0.032609104954485185,2.533727357136184,-1.491587263962731,0.5176534931158321
2012-05-07,77.279999,-0.41999799999999254,-0.005420041799259145,0.03192702210513777,2.467320236358025,-0.16576290215957054,0.5068257635583386
2012-05-08,74.93,-2.349998999999997,-0.030880832588084495,0.021092449375032712,1.5804572316712013,-0.952449935509302,0.33483225352533785
2012-05-09,74.059998,-0.8700020000000137,-0.011678795895884164,0.013745217682958114,1.0179707941094425,-0.5504748768684233,0.21819856623332776
2012-05-10,73.5,-0.5599979999999931,-0.007590142261544308,0.011619038844384224,0.8539993550622405,-0.5501120496191637,0.1844465235350398
2012-05-11,73.540001,0.04000100000000373,0.0005440832523770922,0.013325981178764325,0.9799926692123097,0.04683961382744652,0.21154339304962663
2012-05-14,72.230003,-1.3099980000000073,-0.017973975874424397,0.007760226012665409,0.5605211481755005,-1.3367426524250907,0.12318976888300229
2012-05-15,70.650002,-1.5800009999999958,-0.02211737615764431,0.010241493104873281,0.7235615083422835,-2.818807113956196,0.1625786628568647
2012-05-16,70.93,0.2799980000000062,0.003955337774896428,0.013057392186926465,0.9261608278186942,0.3869719391810877,0.20727967498587144
2012-05-17,66.970001,-3.9599990000000105,-0.05744870235997723,0.02542122105980121,1.702459199796108,-4.275714196773632,0.403549373686991
2012-05-18,66.959999,-0.010002000000000066,-0.00014936160708778345,0.0281087202349119,1.8821598788209803,-0.005875030662231399,0.4462121004831957
2012-05-21,69.110001,2.1500020000000006,0.03160404132605876,0.03738720783517067,2.5838299708758528,1.1423057223740214,0.5935035248816828
2012-05-22,69.559998,0.4499969999999962,0.0064902081609359286,0.03762186530475849,2.6169768753552693,0.17415890560610636,0.5972285967285612
2012-05-23,72.470001,2.9100030000000032,0.040983036186077904,0.019690653406198185,1.4269816720378359,1.1119712319219306,0.3125794323910038
2012-05-24,72.66999799999999,0.1999969999999962,0.0027559201868676553,0.018743658357681155,1.3621016153653727,0.14015386736844743,0.2975463520438901
2012-05-25,72.059998,-0.6099999999999994,-0.008429539541572773,0.021319647648640527,1.536293766921741,-0.4478373662572685,0.3384389143069548
2012-05-29,74.57,2.510002,0.034239203990405365,0.02395364908409853,1.7862236122012272,1.633803413151425,0.3802523908142089
2012-05-30,72.980003,-1.5899969999999968,-0.02155280944024973,0.023827184500328873,1.7389079963155545,-0.8901444304840348,0.37824482778433804
2012-05-31,72.639999,-0.3400039999999933,-0.004669751588935789,0.024011579016196095,1.7442010757249053,-0.1955273083569706,0.38117199997699097
2012-06-01,69.300003,-3.3399959999999993,-0.04707077104061774,0.03412235103718391,2.364679029243898,-1.9149145396621587,0.5416755299594131
2012-06-04,69.339996,0.039992999999995504,0.0005769330842149145,0.02145073302907676,1.4873937424332504,0.016912654743161143,0.34051983020985815
2012-06-05,70.660004,1.3200080000000014,0.018857815969997027,0.027883677361658737,1.9702607539095158,0.8874637309153794,0.4426396556214639
2012-06-06,70.019997,-0.6400069999999971,-0.009098825858494308,0.027791089289892875,1.9459319887050313,-0.32483365398719677,0.44116986554788307
2012-06-07,63.84,-6.179997,-0.09240091954006413,0.04930518137932744,3.147642779256264,-3.1758545703915546,0.7826954896597982
2012-06-08,64.769997,0.9299970000000002,0.014462533735531302,0.05171522396675715,3.349594901181189,0.295458241363635,0.8209537296722801
2012-06-11,63.209998999999996,-1.5599980000000073,-0.024379986213158844,0.04590141311554761,2.901428277132351,-0.4657273628670426,0.7286623435810649
2012-06-12,64.209999,1.0,0.015696445568132766,0.050701799473883716,3.255562493516274,0.3446578389965778,0.8048661145881709
2012-06-13,61.919998,-2.2900009999999966,-0.03631574925032943,0.02668106249571158,1.6520913363723362,-0.7034117773996739,0.4235487364717512
2012-06-14,60.720001,-1.1999969999999962,-0.019570047425316872,0.022362786801301687,1.3578684369378253,-0.7263502771190308,0.3549982349916112
2012-06-15,62.110001000000004,1.3900000000000006,0.022633873115266212,0.028186535282111787,1.7506657345584986,1.0236632373123247,0.4474473760620936
2012-06-18,63.040001000000004,0.9299999999999997,0.014862438740888884,0.027990840224288927,1.7645425957300143,0.5312264823841639,0.4443408133272715
2012-06-19,64.43,1.389999000000003,0.021809901737984028,0.019975836587614548,1.2870431513400054,0.7877389887688954,0.31710657504775924
2012-06-20,64.470001,0.04000099999998952,0.0006206516830671305,0.010188785082444633,0.6568709844539905,0.031079766018988923,0.1617419489401994
2012-06-21,63.200001,-1.269999999999996,-0.019895697858022032,0.01841305188032204,1.1637048972494048,-1.933408584115883,0.2922981369183742
2012-06-22,64.690002,1.4900010000000066,0.023302343996976838,0.020396117531427824,1.319424883900301,1.280394199183876,0.3237783281964159
2012-06-25,64.459999,-0.23000300000001062,-0.0035618000987787113,0.01781250015610667,1.1481937422501358,-0.17432064743246892,0.2827646738481447
2012-06-26,63.860001000000004,-0.5999979999999923,-0.009351657927903823,0.01840636743890692,1.1754306430549635,-0.522558151923181,0.2921920247005475
2012-06-27,61.849998,-2.0100030000000046,-0.03198113644369194,0.02272572646291109,1.405586136279598,-1.7100141228035148,0.3607597235048537
2012-06-28,58.41,-3.4399980000000028,-0.05722495844998132,0.024430364382689605,1.4269775835928997,-2.4473761594612946,0.38782001157172025
2012-06-29,59.630001,1.2200010000000034,0.02067171185287897,0.03314464909210671,1.9764154585069722,0.8549545655287993,0.5261549927413027
2012-07-02,58.099998,-1.5300030000000007,-0.02599319047063986,0.03248891626957128,1.887605970284259,-0.774130253542845,0.5157455568917155
2012-07-03,57.93,-0.16999799999999965,-0.0029302443259240363,0.0332387769109173,1.925522346449439,-0.09006010930045917,0.5276492255414573
2012-07-05,60.16,2.229999999999997,0.03777229453305164,0.027811461373157462,1.6731375162091529,1.158127301982238,0.44149326234392144
2012-07-06,59.540001000000004,-0.6199989999999929,-0.010359307258522854,0.027188989198395748,1.618832444061472,-0.3705606944997156,0.43161182290905925
2012-07-09,58.630001,-0.9100000000000037,-0.015401844350823701,0.024216034237318114,1.4197861115499952,-0.5621335323110489,0.3844176259930165
2012-07-10,57.950001,-0.6799999999999997,-0.011665940990221557,0.02521469597059544,1.4611916567107017,-0.47894538090504113,0.40027088953378764
2012-07-11,55.900002,-2.0499989999999997,-0.036016171102787986,0.011962616360460188,0.6687102784749572,-1.402963800528923,0.1899006475167016
2012-07-12,55.0,-0.9000020000000006,-0.016231230706757138,0.010972749451441065,0.6035012198292586,-1.3458773238128194,0.1741869974828008
2012-07-13,56.150002,1.1500020000000006,0.02069353157085807,0.02350847959465599,1.320001176256893,1.9055504151679377,0.3731855442521776
2012-07-16,55.419998,-0.730004000000001,-0.013086213456552365,0.023536527601342845,1.3043943125933652,-0.5530328405237199,0.37363079255496456
2012-07-17,54.400002,-1.019995999999999,-0.01857631272017457,0.018466550045725286,1.0045803594205558,-0.7819690642257306,0.29314739396590533
2012-07-18,57.150002,2.75,0.04931523460984266,0.03166983033211836,1.8099308668202247,2.7374614426925548,0.5027429707343717
2012-07-19,59.299999,2.149996999999999,0.03692986390382824,0.0344834321994289,2.0448674949427015,1.1878890179806807,0.5474075157098756
2012-07-20,57.349998,-1.9500010000000003,-0.03343648043847747,0.04068546893953532,2.3333115623114127,-0.9536075099353274,0.6458617967283196
2012-07-23,58.389998999999996,1.0400009999999966,0.017971816467429846,0.036443216768557045,2.127919390672829,0.445718873038008,0.5785181312689253
2012-07-24,56.849998,-1.5400009999999966,-0.02672844015298015,0.03421638665812281,1.9452015130815083,-0.7237120948989811,0.5431682991637283
2012-07-25,56.380001,-0.46999699999999933,-0.008301681593493093,0.02299913763150156,1.2966914026631955,-0.2416186687287989,0.3650999912514013
2012-07-26,59.470001,3.0900000000000034,0.053357497110950725,0.03475595049034945,2.0669364104170325,2.3829879597054786,0.5517336094628283
2012-07-27,61.580002,2.110000999999997,0.03486517444072845,0.037141928142033244,2.2872000092702636,1.020834985230279,0.5896098304635077
2012-07-30,59.689999,-1.890003,-0.031172689547098287,0.03876922395992567,2.3141349393987394,-0.8263391886759435,0.6154423507255805
2012-07-31,56.48,-3.2099990000000034,-0.055277892242346915,0.05192687087161605,2.9328296668288742,-1.387126975764874,0.8243135201283592
2012-08-01,53.349998,-3.1300019999999975,-0.0570126529255095,0.04299232587688253,2.293640499547031,-1.067229384440971,0.6824820153268685
2012-08-02,54.48,1.1300019999999975,0.020959721581780055,0.03635636938352594,1.980695004014493,0.4926674429681375,0.5771394717720738
2012-08-03,56.630001,2.150001000000003,0.038705235942941396,0.05017014405616582,2.8411353080708146,1.0854780749395334,0.7964263464774006
2012-08-06,56.259997999999996,-0.3700030000000041,-0.006555130271723719,0.041741304613898765,2.348365714095335,-0.13023068593351972,0.6626226684466147
2012-08-07,58.169998,1.9100000000000037,0.03338595602821126,0.020204099250927143,1.1752724130182335,0.8133315814209953,0.3207301324921176
2012-08-08,58.18,0.010002000000000066,0.00017192952636957415,0.022922562496554277,1.3336346860495278,0.008510367374584918,0.363884398669311
2012-08-09,57.939999,-0.24000099999999946,-0.004133677985084461,0.01865440048291062,1.0808359453254408,-0.1799600764066258,0.2961294272087082
2012-08-10,58.720001,0.7800020000000032,0.013372426254261605,0.016858951436635603,0.9899576452181941,0.7216654880636337,0.2676275571999175
2012-08-13,58.48,-0.24000100000000657,-0.004095585894709153,0.008279490940760728,0.48418463021568736,-0.24243562455352174,0.1314328440687906
